,,,,,,,
ram,bdr,thapa,theram@gmail.com,9871213124,male,B,
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
ramesh,prasad,upadhyay,theramesh@gmail.com,9871234214,male,masters,playing
